danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.75|0.733|6|-3.18|0|0.0319|0.256|0.0|0.114|0.844|111.018|audio_features|3rUGC1vUpkDG9CZFHMur1t|spotify:track:3rUGC1vUpkDG9CZFHMur1t|https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t|https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t|131872|1|Tate McRae|greedy|1|99
0.751|0.819|11|-4.372|0|0.0409|0.255|0.0|0.236|0.697|131.842|audio_features|0R6NfOiLzLj4O5VbYSJAjf|spotify:track:0R6NfOiLzLj4O5VbYSJAjf|https://api.spotify.com/v1/tracks/0R6NfOiLzLj4O5VbYSJAjf|https://api.spotify.com/v1/audio-analysis/0R6NfOiLzLj4O5VbYSJAjf|172264|3|Xavi|La Diabla|2|96
0.943|0.558|2|-4.911|1|0.0568|0.0026|2.19e-06|0.0937|0.606|104.983|audio_features|4xhsWYTOGcal8zt0J161CU|spotify:track:4xhsWYTOGcal8zt0J161CU|https://api.spotify.com/v1/tracks/4xhsWYTOGcal8zt0J161CU|https://api.spotify.com/v1/audio-analysis/4xhsWYTOGcal8zt0J161CU|138411|4|Jack Harlow|Lovin On Me|3|98
0.552|0.702|9|-5.707|1|0.157|0.117|2.06e-05|0.105|0.564|169.994|audio_features|1BxfuPKGuaTgP7aM0Bbdwr|spotify:track:1BxfuPKGuaTgP7aM0Bbdwr|https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr|https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr|178427|4|Taylor Swift|Cruel Summer|4|99
0.522|0.641|8|-6.287|1|0.0318|0.0545|0.0|0.162|0.202|87.51|audio_features|7CyPwkp0oE8Ro9Dd5CUDjW|spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW|https://api.spotify.com/v1/tracks/7CyPwkp0oE8Ro9Dd5CUDjW|https://api.spotify.com/v1/audio-analysis/7CyPwkp0oE8Ro9Dd5CUDjW|244685|4|The Weeknd|One Of The Girls (with JENNIE, Lily Rose Depp)|5|96
0.54|0.588|6|-6.119|0|0.0331|0.0911|1e-06|0.216|0.612|183.951|audio_features|5bLmOhkoAwqmva5URMMN1Y|spotify:track:5bLmOhkoAwqmva5URMMN1Y|https://api.spotify.com/v1/tracks/5bLmOhkoAwqmva5URMMN1Y|https://api.spotify.com/v1/audio-analysis/5bLmOhkoAwqmva5URMMN1Y|187826|4|KIIRA|Colors|6|43
0.504|0.308|9|-14.958|1|0.0321|0.868|0.135|0.158|0.121|113.95|audio_features|3vkCueOmm7xQDoJ17W1Pm3|spotify:track:3vkCueOmm7xQDoJ17W1Pm3|https://api.spotify.com/v1/tracks/3vkCueOmm7xQDoJ17W1Pm3|https://api.spotify.com/v1/audio-analysis/3vkCueOmm7xQDoJ17W1Pm3|137773|4|Mitski|My Love Mine All Mine|7|98
0.662|0.488|9|-6.894|1|0.0682|0.782|0.0|0.102|0.817|117.913|audio_features|0mflMxspEfB0VbI1kyLiAv|spotify:track:0mflMxspEfB0VbI1kyLiAv|https://api.spotify.com/v1/tracks/0mflMxspEfB0VbI1kyLiAv|https://api.spotify.com/v1/audio-analysis/0mflMxspEfB0VbI1kyLiAv|182347|4|Noah Kahan|Stick Season|8|95
0.864|0.556|2|-7.683|0|0.194|0.255|3.85e-06|0.112|0.726|99.974|audio_features|56y1jOTK0XSvJzVv9vHQBK|spotify:track:56y1jOTK0XSvJzVv9vHQBK|https://api.spotify.com/v1/tracks/56y1jOTK0XSvJzVv9vHQBK|https://api.spotify.com/v1/audio-analysis/56y1jOTK0XSvJzVv9vHQBK|230480|4|Doja Cat|Paint The Town Red|9|88
0.546|0.693|7|-3.005|0|0.0323|0.443|0.0|0.495|0.488|139.82|audio_features|0GcSnvYH4SQHRU5dYCEh7E|spotify:track:0GcSnvYH4SQHRU5dYCEh7E|https://api.spotify.com/v1/tracks/0GcSnvYH4SQHRU5dYCEh7E|https://api.spotify.com/v1/audio-analysis/0GcSnvYH4SQHRU5dYCEh7E|147429|4|Sam Neider|One Good Reason|10|36
